x,y,z,value
0,0,0,-4.11859921891
0,0,1,-3.6107547545
0,0,2,-3.26820896367
0,0,3,-2.51430765837
0,0,4,-1.67845155972
0,0,5,-1.00994994778
0,0,6,-0.317496081941
0,0,7,0.872031774276
0,0,8,1.56940081699
0,0,9,2.58704716781
0,1,0,-3.98323777038
0,1,1,-3.66268901764
0,1,2,-3.01882510708
0,1,3,-2.16271964355
0,1,4,-1.63778031075
0,1,5,-0.66493587133
0,1,6,0.235148547435
0,1,7,1.04213786632
0,1,8,2.39990545306
0,1,9,3.15288080957
0,2,0,-3.66939431266
0,2,1,-3.19257879102
0,2,2,-2.69937200328
0,2,3,-2.09938070128
0,2,4,-1.27136922253
0,2,5,-0.648994226367
0,2,6,0.3816774125
0,2,7,1.76860256165
0,2,8,3.07899300023
0,2,9,3.7258758592
0,3,0,-3.63202306643
0,3,1,-3.15806791439
0,3,2,-2.66437904835
0,3,3,-2.04677918833
0,3,4,-1.42418930336
0,3,5,-0.838092676571
0,3,6,-0.215504009484
0,3,7,2.44476266773
0,3,8,3.2299300626
0,3,9,3.59667775834
0,4,0,-3.64785223346
0,4,1,-3.15573374768
0,4,2,-2.54354871765
0,4,3,-1.49032192299
0,4,4,-0.878692831695
0,4,5,-0.5561636083
0,4,6,-0.088109274709
0,4,7,2.48006755653
0,4,8,3.83827329294
0,4,9,3.82150564829
0,5,0,-3.59309653503
0,5,1,-3.47467704573
0,5,2,-2.31552450381
0,5,3,-0.76969576404
0,5,4,-0.137613301799
0,5,5,0.435011051714
0,5,6,1.05204669894
0,5,7,2.29723925135
0,5,8,3.64368228999
0,5,9,3.65074433322
0,6,0,-3.63662050522
0,6,1,-3.71179531512
0,6,2,-2.51816831579
0,6,3,0.222157772332
0,6,4,0.653761894442
0,6,5,1.29187164852
0,6,6,1.73001126443
0,6,7,2.28015047075
0,6,8,3.02373853867
0,6,9,3.36460254565
0,7,0,-3.56856106475
0,7,1,-3.27452715673
0,7,2,-2.78916000163
0,7,3,-0.52526528514
0,7,4,0.563776276455
0,7,5,0.873524410117
0,7,6,1.76042986526
0,7,7,2.57981922086
0,7,8,3.15000263929
0,7,9,3.74153359196
0,8,0,-3.41324445787
0,8,1,-3.28533054042
0,8,2,-2.1851820985
0,8,3,-0.808411177619
0,8,4,0.319767450647
0,8,5,1.36985134086
0,8,6,1.92855961302
0,8,7,2.55236972755
0,8,8,3.30938071326
0,8,9,3.58889782533
0,9,0,-4.0121163764
0,9,1,-3.25487913468
0,9,2,-2.54684985488
0,9,3,-1.56099725653
0,9,4,-0.215766012114
0,9,5,0.865730109899
0,9,6,2.0923863321
0,9,7,2.87100149237
0,9,8,3.90196195174
0,9,9,4.00717448072
1,0,0,-3.83291357737
1,0,1,-3.59905175199
1,0,2,-3.40586751294
1,0,3,-3.46235714154
1,0,4,-3.40975280573
1,0,5,-3.43046416058
1,0,6,-3.41269108569
1,0,7,-3.69713212924
1,0,8,-3.52264955567
1,0,9,-3.56858877889
1,1,0,-3.57935037616
1,1,1,-3.31430535135
1,1,2,-3.24101264586
1,1,3,-3.06452662131
1,1,4,-2.91267643468
1,1,5,-2.91528397122
1,1,6,-3.45642449836
1,1,7,-3.04869062288
1,1,8,-2.9574083178
1,1,9,-3.29351508831
1,2,0,-2.46084857374
1,2,1,-2.6402192123
1,2,2,-2.90879610015
1,2,3,-2.52367245738
1,2,4,-2.50392091006
1,2,5,-2.30221484601
1,2,6,-2.72369214939
1,2,7,-2.9710541178
1,2,8,-2.5917872042
1,2,9,-3.00282391989
1,3,0,-1.70895698431
1,3,1,-2.17389039367
1,3,2,-2.21083770438
1,3,3,-2.0095890677
1,3,4,-1.98529184081
1,3,5,-1.62519722875
1,3,6,-2.05695359686
1,3,7,-2.32137214524
1,3,8,-2.02236510388
1,3,9,-2.28779136878
1,4,0,-0.818905395152
1,4,1,-1.25355052172
1,4,2,-1.65428111291
1,4,3,-1.41520616674
1,4,4,-1.09785846334
1,4,5,-0.688691213396
1,4,6,-0.77961960345
1,4,7,-0.998235689304
1,4,8,-1.35040871239
1,4,9,-0.752616159706
1,5,0,0.274958408855
1,5,1,-0.274896089722
1,5,2,-0.620111629057
1,5,3,-0.0901051976209
1,5,4,-0.169623620708
1,5,5,-0.0253975826275
1,5,6,0.899535201608
1,5,7,1.37368014426
1,5,8,0.565617668598
1,5,9,-0.163951422218
1,6,0,0.682670234417
1,6,1,1.17369963983
1,6,2,1.18727019536
1,6,3,0.424310715724
1,6,4,0.583554172682
1,6,5,1.22451374296
1,6,6,1.62405935919
1,6,7,2.10210474223
1,6,8,2.1485415496
1,6,9,1.35005422282
1,7,0,1.63638839471
1,7,1,1.93154692457
1,7,2,2.55613025193
1,7,3,1.79649684412
1,7,4,1.15153753577
1,7,5,1.75719670681
1,7,6,2.12665202864
1,7,7,2.55244968496
1,7,8,2.9139717207
1,7,9,3.25170497487
1,8,0,2.47199927742
1,8,1,3.21448869637
1,8,2,2.89300515108
1,8,3,3.14214751468
1,8,4,2.71212714571
1,8,5,2.44695990955
1,8,6,2.80262458046
1,8,7,3.09699583976
1,8,8,3.35038387646
1,8,9,3.73091378617
1,9,0,3.33764838801
1,9,1,3.99735677243
1,9,2,3.46587443303
1,9,3,3.18807117058
1,9,4,3.29471917164
1,9,5,3.45780540298
1,9,6,3.43773736074
1,9,7,3.55143891034
1,9,8,3.97149516862
1,9,9,4.26621959147
