x,y,z,value
0,0,0,3.9834550304636918
0,0,1,3.8378012947690294
0,0,2,3.63953163296004
0,0,3,3.1521931331712523
0,0,4,2.141777642346985
0,0,5,0.9596942569854654
0,0,6,0.041883581107533555
0,0,7,-0.6379922876812246
0,0,8,-1.173060225723136
0,0,9,-1.7607340112010375
0,0,10,-2.51380414489178
0,0,11,-3.113105810015351
0,1,0,3.780225094888269
0,1,1,3.601151700616585
0,1,2,3.4479689339538786
0,1,3,3.15012167722389
0,1,4,2.4223257455353853
0,1,5,1.3991591497203522
0,1,6,0.4618621159092856
0,1,7,-0.31073451219378073
0,1,8,-0.9844824603100079
0,1,9,-1.7091778143785659
0,1,10,-2.5180073817711137
0,1,11,-3.121951547261111
0,2,0,3.5784297296785232
0,2,1,3.4349683539264353
0,2,2,3.3379910339452405
0,2,3,3.131743664151589
0,2,4,2.5402921926840296
0,2,5,1.6478599072067903
0,2,6,0.7934958211453172
0,2,7,0.015560486264459033
0,2,8,-0.7884367916651325
0,2,9,-1.6963812403592666
0,2,10,-2.571667164588592
0,2,11,-3.161418285729715
0,3,0,3.4371390028184394
0,3,1,3.351912976994215
0,3,2,3.273278164597488
0,3,3,3.0455144941320422
0,3,4,2.41751235995089
0,3,5,1.53135362014806
0,3,6,0.773005419338144
0,3,7,0.12874685974377129
0,3,8,-0.6473471086756695
0,3,9,-1.6567179868733806
0,3,10,-2.6115998854650204
0,3,11,-3.2132939971667196
0,4,0,3.3707957673922926
0,4,1,3.3044252186967955
0,4,2,3.2016813463855662
0,4,3,2.8837291110841057
0,4,4,2.1419962474685788
0,4,5,1.2143891749491331
0,4,6,0.5190758824692783
0,4,7,0.0535181330985688
0,4,8,-0.5335002820645383
0,4,9,-1.5084336104868878
0,4,10,-2.5402347727135184
0,4,11,-3.2025918697752487
0,5,0,3.398622840692855
0,5,1,3.305891596349335
0,5,2,3.1350659092790325
0,5,3,2.6998644818625537
0,5,4,1.8460285994338774
0,5,5,0.8889954150766756
0,5,6,0.25563583297466336
0,5,7,-0.08321103484436942
0,5,8,-0.4953616022623309
0,5,9,-1.3151014713794686
0,5,10,-2.345519590055901
0,5,11,-3.0870392867358403
0,6,0,3.516146448025343
0,6,1,3.4027467465504495
0,6,2,3.140015185015192
0,6,3,2.546158777032505
0,6,4,1.5457624555933411
0,6,5,0.5542005522746899
0,6,6,-0.01860186167012555
0,6,7,-0.29880768097994725
0,6,8,-0.6268569403627072
0,6,9,-1.2618051268170287
0,6,10,-2.1758145603167156
0,6,11,-2.9314176343385454
0,7,0,3.64070797573499
0,7,1,3.5260806909043922
0,7,2,3.1964596357188553
0,7,3,2.407482385108108
0,7,4,1.1933746684616204
0,7,5,0.15490151394031956
0,7,6,-0.37558346790529434
0,7,7,-0.6271450275433981
0,7,8,-0.9203822717972331
0,7,9,-1.4672027662832983
0,7,10,-2.2662642115576173
0,7,11,-2.933410884206239
0,8,0,3.6826803155096313
0,8,1,3.5680500039319427
0,8,2,3.2132702891561467
0,8,3,2.2856232559613083
0,8,4,0.8812371611202133
0,8,5,-0.19381923230865317
0,8,6,-0.701601386890636
0,8,7,-0.9434341425810434
0,8,8,-1.2691990200953789
0,8,9,-1.8853490205016266
0,8,10,-2.6638245640821263
0,8,11,-3.2063399661480405
0,9,0,3.619930219071145
0,9,1,3.5087703104373915
0,9,2,3.16331505851758
0,9,3,2.1979370085536014
0,9,4,0.7302370594778382
0,9,5,-0.3560957780929347
0,9,6,-0.8750468515662133
0,9,7,-1.1544809547813895
