x,y,z,value
0,0,0,-0.187437218033
0,0,1,-0.0646699718522
0,0,2,0.00773118369511
0,0,3,-0.0583387394511
0,0,4,-0.0412761257976
0,0,5,-0.234561363228
0,0,6,0.000317078351574
0,0,7,-0.0129111725725
0,0,8,7.76544049209e-05
0,0,9,-0.734928357445
0,1,0,0.0384452326612
0,1,1,0.0766039284591
0,1,2,0.0265779724552
0,1,3,0.0103066532937
0,1,4,-0.000237608942427
0,1,5,0.000315666733002
0,1,6,0.000646788493862
0,1,7,-0.000312909334248
0,1,8,-0.0237474109373
0,1,9,-0.520595632228
0,2,0,0.333333333333
0,2,1,0.165760858422
0,2,2,0.0493858777426
0,2,3,0.0414585496447
0,2,4,-0.499562603554
0,2,5,0.000148611229696
0,2,6,-0.0118147856427
0,2,7,-0.00595823019345
0,2,8,-0.00197874481136
0,2,9,-0.502245393468
0,3,0,0.611356093398
0,3,1,0.0788677742329
0,3,2,0.154946492309
0,3,3,0.0587761515437
0,3,4,0.0414778086485
0,3,5,-0.497916198121
0,3,6,-0.00417808536642
0,3,7,0.000911377231021
0,3,8,0.000427532995099
0,3,9,-0.49839247005
0,4,0,1.33333333333
0,4,1,0.192359062555
0,4,2,0.212438873759
0,4,3,0.0712031272399
0,4,4,0.0412041897123
0,4,5,0.0100296494809
0,4,6,0.00390553862549
0,4,7,0.00231805832173
0,4,8,0.000767886554012
0,4,9,-0.498955187299
0,5,0,0.609635996482
0,5,1,0.333167643702
0,5,2,0.157502595323
0,5,3,0.0767297912404
0,5,4,0.0179787070773
0,5,5,0.00339431700013
0,5,6,0.00543792446024
0,5,7,0.000648591711027
0,5,8,0.00212834664223
0,5,9,-0.601893940194
0,6,0,0.333333333333
0,6,1,-0.414167588427
0,6,2,0.108605509609
0,6,3,0.00807932372259
0,6,4,0.00392445442744
0,6,5,0.00391302360149
0,6,6,0.00312786343771
0,6,7,0.00153596036228
0,6,8,-0.224922948565
0,6,9,-0.500696423235
0,7,0,-0.00612380388802
0,7,1,-0.0431205730458
0,7,2,-0.480355053395
0,7,3,0.103657423116
0,7,4,-0.0481946307245
0,7,5,0.00477920449092
0,7,6,0.0025463701448
