x,y,z,value
0,0,0,-4.12255414168
0,0,1,-4.00680013569
0,0,2,-3.74754650774
0,0,3,-3.71509819164
0,0,4,-3.77363253576
0,0,5,-3.69403803752
0,0,6,-3.63378680231
0,0,7,-3.56552029231
0,0,8,-3.71826680157
0,0,9,-3.65802940072
0,0,10,-4.07391147953
0,0,11,-3.26193410287
0,1,0,-3.68937430691
0,1,1,-3.5096586948
0,1,2,-3.67811912759
0,1,3,-3.29013758929
0,1,4,-3.46010579343
0,1,5,-3.52460644453
0,1,6,-3.36937177367
0,1,7,-3.65669551647
0,1,8,-3.60361688919
0,1,9,-3.35413417496
0,1,10,-3.34840972167
0,1,11,-3.15261093188
0,2,0,-3.25102009404
0,2,1,-3.12971155829
0,2,2,-3.13602488308
0,2,3,-3.06741410634
0,2,4,-3.17182719442
0,2,5,-3.1069412426
0,2,6,-3.21811808238
0,2,7,-3.47645966746
0,2,8,-3.25071121606
0,2,9,-3.37854539282
0,2,10,-2.82294133925
0,2,11,-2.58423150586
0,3,0,-2.74351048769
0,3,1,-2.65663954615
0,3,2,-2.7298215232
0,3,3,-2.62279386121
0,3,4,-2.14833306485
0,3,5,-2.53541308708
0,3,6,-1.22162474061
0,3,7,-0.816561985156
0,3,8,-2.87343200559
0,3,9,-2.80971446504
0,3,10,-2.13372598877
0,3,11,-1.87833386269
0,4,0,-2.08425934004
0,4,1,-2.1774346012
0,4,2,-2.16430499545
0,4,3,-1.98881593042
0,4,4,-1.67191698609
0,4,5,-0.994912383874
0,4,6,-0.687897810041
0,4,7,0.152144694006
0,4,8,0.38816835084
0,4,9,-1.14355326289
0,4,10,-1.33467289989
0,4,11,-0.712478145207
0,5,0,-1.44649216114
0,5,1,-1.68377389307
0,5,2,-1.57434301852
0,5,3,-1.29941757231
0,5,4,-1.28656238433
0,5,5,-0.569141979536
0,5,6,-0.204725907856
0,5,7,0.61583385852
0,5,8,0.655271571844
0,5,9,0.752714556115
0,5,10,0.0146720817447
0,5,11,-0.164239703502
0,6,0,-0.862338024803
0,6,1,-0.796039068542
0,6,2,-1.00991428121
0,6,3,-0.798780902158
0,6,4,-0.755955562257
0,6,5,-0.0453193399517
0,6,6,0.546729315373
0,6,7,1.0226873884
0,6,8,1.02652045449
0,6,9,1.41794597923
0,6,10,0.854652142387
0,6,11,0.776289035493
0,7,0,-0.251817848212
0,7,1,-0.435937307145
0,7,2,-0.480708903194
0,7,3,-0.211170331705
0,7,4,-0.126098330052
0,7,5,0.323177065932
0,7,6,0.688037357543
0,7,7,1.29995680999
0,7,8,1.67502157984
0,7,9,1.8561009891
0,7,10,2.06089035441
0,7,11,1.56477165892
0,8,0,0.26879003254
0,8,1,0.785543734098
0,8,2,0.67779280907
0,8,3,0.87354010221
0,8,4,3.05878047708
0,8,5,1.95753775012
0,8,6,1.53289235544
0,8,7,2.10666554936
0,8,8,2.22736502073
0,8,9,2.6799001845
0,8,10,2.5634281504
0,8,11,2.15811818092
0,9,0,0.971979878124
0,9,1,1.44862740602
0,9,2,2.12026932253
